"age_group","frequency","proportion","name"
"1",5426,0.0156819449542345,"2-4"
"10",24446,0.0706525665962434,"45-49"
"11",26958,0.0779126192547464,"50-54"
"12",29366,0.0848720964847126,"55-59"
"13",29904,0.08642699629772,"60-64"
"14",29924,0.0864847992647463,"65-69"
"15",30556,0.0883113730227773,"70-74"
"16",17828,0.0515255648072416,"75-79"
"17",8994,0.025993994271726,"80-84"
"18",3539,0.0102282350153033,"85-89"
"19",1067,0.00308378829085297,"90+"
"2",14128,0.0408320159073765,"5-9"
"3",18070,0.0522249807082598,"10-14"
"4",14453,0.0417713141215539,"15-19"
"5",11835,0.0342049057378115,"20-24"
"6",15692,0.045352207928833,"25-29"
"7",19328,0.0558607873342139,"30-34"
"8",21715,0.0627595714488025,"35-39"
"9",22774,0.0658202385528449,"40-44"
